Timestamp (UTC),Value (mm)
1992-11-13 16:00:00,98
1992-11-14 16:00:00,100
1992-11-15 16:00:00,100
1992-11-16 16:00:00,106
1992-11-17 16:00:00,111
1992-11-18 16:00:00,113
1992-11-19 16:00:00,120
1992-11-20 16:00:00,123
1992-11-21 16:00:00,137
1992-11-22 16:00:00,137
1992-11-23 16:00:00,137
1992-11-24 16:00:00,137
1992-11-25 16:00:00,137
1992-11-26 16:00:00,138
1992-11-27 16:00:00,145
1992-11-28 16:00:00,146
1992-11-29 16:00:00,182
1992-11-30 16:00:00,196
1992-12-01 16:00:00,197
1992-12-02 16:00:00,197
1992-12-03 16:00:00,198
1992-12-04 16:00:00,198
1992-12-05 16:00:00,198
1992-12-06 16:00:00,197
1992-12-07 16:00:00,204
1992-12-08 16:00:00,218
1992-12-09 16:00:00,224
1992-12-10 16:00:00,232
1992-12-11 16:00:00,235
1992-12-12 16:00:00,235
1992-12-13 16:00:00,251
1992-12-14 16:00:00,261
1992-12-15 16:00:00,262
1992-12-16 16:00:00,269
1992-12-17 16:00:00,272
1992-12-18 16:00:00,274
1992-12-19 16:00:00,298
1992-12-20 16:00:00,304
1992-12-21 16:00:00,319
1992-12-22 16:00:00,323
1992-12-23 16:00:00,349
1992-12-24 16:00:00,350
1992-12-25 16:00:00,368
1992-12-26 16:00:00,370
1992-12-27 16:00:00,376
1992-12-28 16:00:00,382
1992-12-29 16:00:00,383
1992-12-30 16:00:00,381
1992-12-31 16:00:00,384
1993-01-01 16:00:00,383
1993-01-02 16:00:00,384
1993-01-03 16:00:00,388
1993-01-04 16:00:00,388
1993-01-05 16:00:00,388
1993-01-06 16:00:00,390
1993-01-07 16:00:00,388
1993-01-08 16:00:00,388
1993-01-09 16:00:00,390
1993-01-10 16:00:00,388
1993-01-11 16:00:00,387
1993-01-12 16:00:00,389
1993-01-13 16:00:00,389
1993-01-14 16:00:00,387
1993-01-15 16:00:00,388
1993-01-16 16:00:00,389
1993-01-17 16:00:00,390
1993-01-18 16:00:00,390
1993-01-19 16:00:00,394
1993-01-20 16:00:00,421
1993-01-21 16:00:00,432
1993-01-22 16:00:00,431
1993-01-23 16:00:00,437
1993-01-24 16:00:00,476
1993-01-25 16:00:00,483
1993-01-26 16:00:00,502
1993-01-27 16:00:00,505
1993-01-28 16:00:00,505
1993-01-29 16:00:00,506
1993-01-30 16:00:00,511
1993-01-31 16:00:00,512
1993-02-01 16:00:00,511
1993-02-02 16:00:00,512
1993-02-03 16:00:00,512
1993-02-04 16:00:00,512
1993-02-05 16:00:00,512
1993-02-06 16:00:00,512
1993-02-07 16:00:00,516
1993-02-08 16:00:00,514
1993-02-09 16:00:00,515
1993-02-10 16:00:00,524
1993-02-11 16:00:00,524
1993-02-12 16:00:00,526
1993-02-13 16:00:00,529
1993-02-14 16:00:00,531
1993-02-15 16:00:00,531
1993-02-16 16:00:00,531
1993-02-17 16:00:00,533
1993-02-18 16:00:00,536
1993-02-19 16:00:00,536
1993-02-20 16:00:00,536
1993-02-21 16:00:00,536
1993-02-22 16:00:00,538
1993-02-23 16:00:00,541
1993-02-24 16:00:00,537
1993-02-25 16:00:00,536
1993-02-26 16:00:00,537
1993-02-27 16:00:00,537
1993-02-28 16:00:00,537
1993-03-01 16:00:00,537
1993-03-02 16:00:00,541
1993-03-03 16:00:00,544
1993-03-04 16:00:00,555
1993-03-05 16:00:00,566
1993-03-06 16:00:00,573
1993-03-07 16:00:00,580
1993-03-08 16:00:00,583
1993-03-09 16:00:00,585
1993-03-10 16:00:00,583
1993-03-11 16:00:00,586
1993-03-12 16:00:00,590
1993-03-13 16:00:00,591
1993-03-14 16:00:00,613
1993-03-15 16:00:00,613
1993-03-16 16:00:00,621
1993-03-17 16:00:00,637
1993-03-18 16:00:00,640
1993-03-19 16:00:00,648
1993-03-20 16:00:00,651
1993-03-21 16:00:00,661
1993-03-22 16:00:00,686
1993-03-23 16:00:00,700
1993-03-24 16:00:00,703
1993-03-25 16:00:00,707
1993-03-26 16:00:00,706
1993-03-27 16:00:00,706
1993-03-28 16:00:00,707
1993-03-29 16:00:00,706
1993-03-30 16:00:00,707
1993-03-31 16:00:00,714
1993-04-01 16:00:00,709
1993-04-02 16:00:00,718
1993-04-03 16:00:00,733
1993-04-04 16:00:00,739
1993-04-05 16:00:00,741
1993-04-06 16:00:00,745
1993-04-07 16:00:00,756
1993-04-08 16:00:00,767
1993-04-09 16:00:00,777
1993-04-10 16:00:00,780
1993-04-11 16:00:00,791
1993-04-12 16:00:00,800
1993-04-13 16:00:00,801
1993-04-14 16:00:00,804
1993-04-15 16:00:00,803
1993-04-16 16:00:00,804
1993-04-17 16:00:00,805
