Timestamp (UTC),Value (mm)
1983-10-15 16:00:00,0
1983-10-15 16:00:01,NaN
1983-10-20 15:59:59,NaN
1983-10-20 16:00:00,8
1983-10-20 16:00:01,NaN
1983-10-25 15:59:59,NaN
1983-10-25 16:00:00,7
1983-10-25 16:00:01,NaN
1983-10-30 15:59:59,NaN
1983-10-30 16:00:00,3
1983-10-31 16:00:00,4
1983-10-31 16:00:01,NaN
1983-11-05 15:59:59,NaN
1983-11-05 16:00:00,6
1983-11-05 16:00:01,NaN
1983-11-10 15:59:59,NaN
1983-11-10 16:00:00,37
1983-11-10 16:00:01,NaN
1983-11-15 15:59:59,NaN
1983-11-15 16:00:00,96
1983-11-15 16:00:01,NaN
1983-11-20 15:59:59,NaN
1983-11-20 16:00:00,125
1983-11-20 16:00:01,NaN
1983-11-25 15:59:59,NaN
1983-11-25 16:00:00,134
1983-11-25 16:00:01,NaN
1983-11-30 15:59:59,NaN
1983-11-30 16:00:00,132
1983-11-30 16:00:01,NaN
1983-12-05 15:59:59,NaN
1983-12-05 16:00:00,148
1983-12-05 16:00:01,NaN
1983-12-10 15:59:59,NaN
1983-12-10 16:00:00,175
1983-12-10 16:00:01,NaN
1983-12-15 15:59:59,NaN
1983-12-15 16:00:00,197
1983-12-15 16:00:01,NaN
1983-12-20 15:59:59,NaN
1983-12-20 16:00:00,194
1983-12-20 16:00:01,NaN
1983-12-25 15:59:59,NaN
1983-12-25 16:00:00,191
1983-12-25 16:00:01,NaN
1983-12-30 15:59:59,NaN
1983-12-30 16:00:00,197
1983-12-31 16:00:00,199
1983-12-31 16:00:01,NaN
1984-01-05 15:59:59,NaN
1984-01-05 16:00:00,231
1984-01-05 16:00:01,NaN
1984-01-10 15:59:59,NaN
1984-01-10 16:00:00,236
1984-01-10 16:00:01,NaN
1984-01-15 15:59:59,NaN
1984-01-15 16:00:00,250
1984-01-15 16:00:01,NaN
1984-01-20 15:59:59,NaN
1984-01-20 16:00:00,251
1984-01-20 16:00:01,NaN
1984-01-25 15:59:59,NaN
1984-01-25 16:00:00,342
1984-01-25 16:00:01,NaN
1984-01-30 15:59:59,NaN
1984-01-30 16:00:00,351
1984-01-31 16:00:00,358
1984-01-31 16:00:01,NaN
1984-02-05 15:59:59,NaN
1984-02-05 16:00:00,359
1984-02-05 16:00:01,NaN
1984-02-10 15:59:59,NaN
1984-02-10 16:00:00,360
1984-02-10 16:00:01,NaN
1984-02-15 15:59:59,NaN
1984-02-15 16:00:00,400
1984-02-15 16:00:01,NaN
1984-02-20 15:59:59,NaN
1984-02-20 16:00:00,403
1984-02-20 16:00:01,NaN
1984-02-25 15:59:59,NaN
1984-02-25 16:00:00,442
1984-02-25 16:00:01,NaN
1984-02-29 15:59:59,NaN
1984-02-29 16:00:00,445
1984-02-29 16:00:01,NaN
1984-03-05 15:59:59,NaN
1984-03-05 16:00:00,452
1984-03-05 16:00:01,NaN
1984-03-10 15:59:59,NaN
1984-03-10 16:00:00,455
1984-03-10 16:00:01,NaN
1984-03-15 15:59:59,NaN
1984-03-15 16:00:00,510
1984-03-15 16:00:01,NaN
1984-03-20 15:59:59,NaN
1984-03-20 16:00:00,528
1984-03-20 16:00:01,NaN
1984-03-25 15:59:59,NaN
1984-03-25 16:00:00,551
1984-03-25 16:00:01,NaN
1984-03-30 15:59:59,NaN
1984-03-30 16:00:00,591
1984-03-31 16:00:00,591
1984-03-31 16:00:01,NaN
1984-04-05 15:59:59,NaN
1984-04-05 16:00:00,593
1984-04-05 16:00:01,NaN
1984-04-10 15:59:59,NaN
1984-04-10 16:00:00,622
1984-04-10 16:00:01,NaN
1984-04-15 15:59:59,NaN
1984-04-15 16:00:00,626
1984-04-15 16:00:01,NaN
1984-04-20 15:59:59,NaN
1984-04-20 16:00:00,569
1984-04-20 16:00:01,NaN
1984-04-25 15:59:59,NaN
1984-04-25 16:00:00,567
1984-04-25 16:00:01,NaN
1984-04-30 15:59:59,NaN
1984-04-30 16:00:00,584
1984-04-30 16:00:01,NaN
1984-05-05 15:59:59,NaN
1984-05-05 16:00:00,595
1984-05-05 16:00:01,NaN
1984-05-10 15:59:59,NaN
1984-05-10 16:00:00,598
1984-05-10 16:00:01,NaN
1984-05-15 15:59:59,NaN
1984-05-15 16:00:00,597
1984-05-15 16:00:01,NaN
1984-05-20 15:59:59,NaN
1984-05-20 16:00:00,573
1984-05-20 16:00:01,NaN
1984-05-25 15:59:59,NaN
1984-05-25 16:00:00,512
1984-05-25 16:00:01,NaN
1984-05-30 15:59:59,NaN
1984-05-30 16:00:00,410
1984-05-31 16:00:00,366
1984-05-31 16:00:01,NaN
1984-06-05 15:59:59,NaN
1984-06-05 16:00:00,266
1984-06-05 16:00:01,NaN
1984-06-10 15:59:59,NaN
1984-06-10 16:00:00,133
1984-06-10 16:00:01,NaN
1984-06-15 15:59:59,NaN
1984-06-15 16:00:00,0
1984-06-15 16:00:01,NaN
1984-10-10 15:59:59,NaN
1984-10-10 16:00:00,0
1984-10-10 16:00:01,NaN
1984-10-15 15:59:59,NaN
1984-10-15 16:00:00,10
1984-10-15 16:00:01,NaN
1984-10-20 15:59:59,NaN
1984-10-20 16:00:00,20
1984-10-20 16:00:01,NaN
1984-10-25 15:59:59,NaN
1984-10-25 16:00:00,80
1984-10-25 16:00:01,NaN
1984-10-31 15:59:59,NaN
1984-10-31 16:00:00,100
1984-10-31 16:00:01,NaN
1984-11-05 15:59:59,NaN
1984-11-05 16:00:00,190
1984-11-05 16:00:01,NaN
1984-11-10 15:59:59,NaN
1984-11-10 16:00:00,200
