Timestamp (UTC),Value (mm)
1992-10-01 16:00:00,0
1992-10-02 16:00:00,0
1992-10-03 16:00:00,0
1992-10-04 16:00:00,0
1992-10-05 16:00:00,0
1992-10-06 16:00:00,0
1992-10-07 16:00:00,0
1992-10-08 16:00:00,0
1992-10-09 16:00:00,0
1992-10-10 16:00:00,0
1992-10-11 16:00:00,0
1992-10-12 16:00:00,0
1992-10-13 16:00:00,0
1992-10-14 16:00:00,0
1992-10-15 16:00:00,0
1992-10-16 16:00:00,0
1992-10-17 16:00:00,0
1992-10-18 16:00:00,0
1992-10-19 16:00:00,0
1992-10-20 16:00:00,0
1992-10-21 16:00:00,0
1992-10-22 16:00:00,0
1992-10-23 16:00:00,0
1992-10-24 16:00:00,0
1992-10-25 16:00:00,0
1992-10-26 16:00:00,0
1992-10-27 16:00:00,0
1992-10-28 16:00:00,0
1992-10-29 16:00:00,0
1992-10-30 16:00:00,0
1992-10-31 16:00:00,0
1992-11-01 16:00:00,0
1992-11-02 16:00:00,0
1992-11-03 16:00:00,0
1992-11-04 16:00:00,0
1992-11-05 16:00:00,0
1992-11-06 16:00:00,0
1992-11-07 16:00:00,0
1992-11-08 16:00:00,0
1992-11-09 16:00:00,0
1992-11-10 16:00:00,0
1992-11-11 16:00:00,42
1992-11-12 16:00:00,46
1992-11-13 16:00:00,50
1992-11-14 16:00:00,51
1992-11-15 16:00:00,51
1992-11-16 16:00:00,53
1992-11-17 16:00:00,57
1992-11-18 16:00:00,57
1992-11-19 16:00:00,56
1992-11-20 16:00:00,59
1992-11-21 16:00:00,65
1992-11-22 16:00:00,63
1992-11-23 16:00:00,65
1992-11-24 16:00:00,65
1992-11-25 16:00:00,65
1992-11-26 16:00:00,68
1992-11-27 16:00:00,68
1992-11-28 16:00:00,67
1992-11-29 16:00:00,75
1992-11-30 16:00:00,82
1992-12-01 16:00:00,84
1992-12-02 16:00:00,82
1992-12-03 16:00:00,82
1992-12-04 16:00:00,83
1992-12-05 16:00:00,83
1992-12-06 16:00:00,84
1992-12-07 16:00:00,89
1992-12-08 16:00:00,91
1992-12-09 16:00:00,90
1992-12-10 16:00:00,101
1992-12-11 16:00:00,104
1992-12-12 16:00:00,102
1992-12-13 16:00:00,112
1992-12-14 16:00:00,116
