"Ordinal","Azimuth"
"0","-180"
"1","-180"
"2","-179"
"3","-178"
"4","-177"
"5","-176"
"6","-175"
"7","-174"
"8","-173"
"9","-172"
"10","-171"
"11","-170"
"12","-169"
"13","-168"
"14","-167"
"15","-166"
"16","-165"
"17","-164"
"18","-163"
"19","-162"
"20","-161"
"21","-160"
"22","-159"
"23","-158"
"24","-157"
"25","-156"
"26","-155"
"27","-154"
"28","-153"
"29","-152"
"30","-151"
"31","-150"
"32","-149"
"33","-148"
"34","-147"
"35","-146"
"36","-145"
"37","-144"
"38","-143"
"39","-142"
"40","-141"
"41","-140"
"42","-139"
"43","-138"
"44","-137"
"45","-136"
"46","-135"
"47","-134"
"48","-133"
"49","-132"
"50","-131"
"51","-130"
"52","-129"
"53","-128"
"54","-127"
"55","-126"
"56","-125"
"57","-124"
"58","-123"
"59","-122"
"60","-121"
"61","-120"
"62","-119"
"63","-118"
"64","-117"
"65","-116"
"66","-115"
"67","-114"
"68","-113"
"69","-112"
"70","-111"
"71","-110"
"72","-109"
"73","-108"
"74","-107"
"75","-106"
"76","-105"
"77","-104"
"78","-103"
"79","-102"
"80","-101"
"81","-100"
"82","-99"
"83","-98"
"84","-97"
"85","-96"
"86","-95"
"87","-94"
"88","-93"
"89","-92"
"90","-91"
"91","-90"
"92","-89"
"93","-88"
"94","-87"
"95","-86"
"96","-85"
"97","-84"
"98","-83"
"99","-82"
"100","-81"
"101","-80"
"102","-79"
"103","-78"
"104","-77"
"105","-76"
"106","-75"
"107","-74"
"108","-73"
"109","-72"
"110","-71"
"111","-70"
"112","-69"
"113","-68"
"114","-67"
"115","-66"
"116","-65"
"117","-64"
"118","-63"
"119","-62"
"120","-61"
"121","-60"
"122","-59"
"123","-58"
"124","-57"
"125","-56"
"126","-55"
"127","-54"
"128","-53"
"129","-52"
"130","-51"
"131","-50"
"132","-49"
"133","-48"
"134","-47"
"135","-46"
"136","-45"
"137","-44"
"138","-43"
"139","-42"
"140","-41"
"141","-40"
"142","-39"
"143","-38"
"144","-37"
"145","-36"
"146","-35"
"147","-34"
"148","-33"
"149","-32"
"150","-31"
"151","-30"
"152","-29"
"153","-28"
"154","-27"
"155","-26"
"156","-25"
"157","-24"
"158","-23"
"159","-22"
"160","-21"
"161","-20"
"162","-19"
"163","-18"
"164","-17"
"165","-16"
"166","-15"
"167","-14"
"168","-13"
"169","-12"
"170","-11"
"171","-10"
"172","-9"
"173","-8"
"174","-7"
"175","-6"
"176","-5"
"177","-4"
"178","-3"
"179","-2"
"180","-1"
"181","0"
"182","1"
"183","2"
"184","3"
"185","4"
"186","5"
"187","6"
"188","7"
"189","8"
"190","9"
"191","10"
"192","11"
"193","12"
"194","13"
"195","14"
"196","15"
"197","16"
"198","17"
"199","18"
"200","19"
"201","20"
"202","21"
"203","22"
"204","23"
"205","24"
"206","25"
"207","26"
"208","27"
"209","28"
"210","29"
"211","30"
"212","31"
"213","32"
"214","33"
"215","34"
"216","35"
"217","36"
"218","37"
"219","38"
"220","39"
"221","40"
"222","41"
"223","42"
"224","43"
"225","44"
"226","45"
"227","46"
"228","47"
"229","48"
"230","49"
"231","50"
"232","51"
"233","52"
"234","53"
"235","54"
"236","55"
"237","56"
"238","57"
"239","58"
"240","59"
"241","60"
"242","61"
"243","62"
"244","63"
"245","64"
"246","65"
"247","66"
"248","67"
"249","68"
"250","69"
"251","70"
"252","71"
"253","72"
"254","73"
"255","74"
"256","75"
"257","76"
"258","77"
"259","78"
"260","79"
"261","80"
"262","81"
"263","82"
"264","83"
"265","84"
"266","85"
"267","86"
"268","87"
"269","88"
"270","89"
"271","90"
"272","91"
"273","92"
"274","93"
"275","94"
"276","95"
"277","96"
"278","97"
"279","98"
"280","99"
"281","100"
"282","101"
"283","102"
"284","103"
"285","104"
"286","105"
"287","106"
"288","107"
"289","108"
"290","109"
"291","110"
"292","111"
"293","112"
"294","113"
"295","114"
"296","115"
"297","116"
"298","117"
"299","118"
"300","119"
"301","120"
"302","121"
"303","122"
"304","123"
"305","124"
"306","125"
"307","126"
"308","127"
"309","128"
"310","129"
"311","130"
"312","131"
"313","132"
"314","133"
"315","134"
"316","135"
"317","136"
"318","137"
"319","138"
"320","139"
"321","140"
"322","141"
"323","142"
"324","143"
"325","144"
"326","145"
"327","146"
"328","147"
"329","148"
"330","149"
"331","150"
"332","151"
"333","152"
"334","153"
"335","154"
"336","155"
"337","156"
"338","157"
"339","158"
"340","159"
"341","160"
"342","161"
"343","162"
"344","163"
"345","164"
"346","165"
"347","166"
"348","167"
"349","168"
"350","169"
"351","170"
"352","171"
"353","172"
"354","173"
"355","174"
"356","175"
"357","176"
"358","177"
"359","178"
"360","179"
"361","180"
"362","180"
